INFO 2025-06-12 22:05:01,017 autoreload 64871 8810225408 Watching for file changes with StatReloader
INFO 2025-06-25 10:06:08,503 agent_manager 1138 8413437696 Interacción procesada - Agente: tutor, Query: '¿Puedes ayudarme a estudiar matemáticas?...', Response time: 0.00s
INFO 2025-06-25 10:08:14,905 _client 1721 8413437696 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
INFO 2025-06-25 10:08:14,910 _base_client 1721 8413437696 Retrying request to /chat/completions in 0.445486 seconds
INFO 2025-06-25 10:08:17,675 _client 1721 8413437696 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
INFO 2025-06-25 10:08:17,678 _base_client 1721 8413437696 Retrying request to /chat/completions in 0.968981 seconds
INFO 2025-06-25 10:08:19,480 _client 1721 8413437696 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
WARNING 2025-06-25 10:08:20,273 ai_service 1721 8413437696 Claude API key no configurada
INFO 2025-06-25 10:08:20,274 agent_manager 1721 8413437696 ✅ Tutor Agent inicializado
WARNING 2025-06-25 10:08:20,296 ai_service 1721 8413437696 Claude API key no configurada
INFO 2025-06-25 10:08:20,297 agent_manager 1721 8413437696 ✅ Evaluator Agent inicializado
WARNING 2025-06-25 10:08:20,315 ai_service 1721 8413437696 Claude API key no configurada
INFO 2025-06-25 10:08:20,316 agent_manager 1721 8413437696 ✅ Counselor Agent inicializado
WARNING 2025-06-25 10:08:20,327 ai_service 1721 8413437696 Claude API key no configurada
INFO 2025-06-25 10:08:20,327 agent_manager 1721 8413437696 ✅ Curriculum Agent inicializado
WARNING 2025-06-25 10:08:20,346 ai_service 1721 8413437696 Claude API key no configurada
INFO 2025-06-25 10:08:20,354 agent_manager 1721 8413437696 ✅ Analytics Agent inicializado
INFO 2025-06-25 10:08:20,354 agent_manager 1721 8413437696 AgentManager inicializado con 5 agentes
INFO 2025-06-25 10:08:20,354 agent_manager 1721 8413437696 Query routing: '¿Puedes ayudarme a estudiar matemáticas?...' -> tutor (score: 2.0)
INFO 2025-06-25 10:08:20,362 ai_service 1721 8413437696 Procesando consulta con OpenAI - Tokens: 672
INFO 2025-06-25 10:08:20,894 _client 1721 8413437696 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
INFO 2025-06-25 10:08:20,907 _base_client 1721 8413437696 Retrying request to /chat/completions in 0.379975 seconds
INFO 2025-06-25 10:08:21,653 _client 1721 8413437696 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
INFO 2025-06-25 10:08:21,655 _base_client 1721 8413437696 Retrying request to /chat/completions in 0.825255 seconds
INFO 2025-06-25 10:08:22,846 _client 1721 8413437696 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 429 Too Many Requests"
ERROR 2025-06-25 10:08:22,849 ai_service 1721 8413437696 Error procesando consulta con OpenAI: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
INFO 2025-06-25 10:08:22,849 agent_manager 1721 8413437696 Interacción procesada - Agente: tutor, Query: '¿Puedes ayudarme a estudiar matemáticas?...', Response time: 2.49s
INFO 2025-06-25 10:09:24,156 _client 2027 8413437696 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
WARNING 2025-06-25 10:09:24,386 ai_service 2027 8413437696 Claude API key no configurada
INFO 2025-06-25 10:09:24,386 agent_manager 2027 8413437696 ✅ Tutor Agent inicializado
WARNING 2025-06-25 10:09:24,391 ai_service 2027 8413437696 Claude API key no configurada
INFO 2025-06-25 10:09:24,391 agent_manager 2027 8413437696 ✅ Evaluator Agent inicializado
WARNING 2025-06-25 10:09:24,396 ai_service 2027 8413437696 Claude API key no configurada
INFO 2025-06-25 10:09:24,396 agent_manager 2027 8413437696 ✅ Counselor Agent inicializado
WARNING 2025-06-25 10:09:24,402 ai_service 2027 8413437696 Claude API key no configurada
INFO 2025-06-25 10:09:24,402 agent_manager 2027 8413437696 ✅ Curriculum Agent inicializado
WARNING 2025-06-25 10:09:24,408 ai_service 2027 8413437696 Claude API key no configurada
INFO 2025-06-25 10:09:24,408 agent_manager 2027 8413437696 ✅ Analytics Agent inicializado
INFO 2025-06-25 10:09:24,408 agent_manager 2027 8413437696 AgentManager inicializado con 5 agentes
INFO 2025-06-25 10:09:24,408 agent_manager 2027 8413437696 Query routing: '¿Puedes ayudarme a estudiar matemáticas?...' -> tutor (score: 2.0)
INFO 2025-06-25 10:09:24,409 ai_service 2027 8413437696 Procesando consulta con OpenAI - Tokens: 672
INFO 2025-06-25 10:09:27,537 _client 2027 8413437696 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
INFO 2025-06-25 10:09:27,580 ai_service 2027 8413437696 Consulta procesada exitosamente en 3.17s
INFO 2025-06-25 10:09:27,580 agent_manager 2027 8413437696 Interacción procesada - Agente: tutor, Query: '¿Puedes ayudarme a estudiar matemáticas?...', Response time: 3.17s
INFO 2025-06-25 10:13:41,127 autoreload 3992 8413437696 Watching for file changes with StatReloader
WARNING 2025-06-25 10:13:58,249 log 3992 6156398592 Not Found: /
WARNING 2025-06-25 10:13:59,610 log 3992 6156398592 Not Found: /favicon.ico
WARNING 2025-06-25 10:17:26,680 ai_service 5135 8413437696 Claude API key no configurada
INFO 2025-06-25 10:17:26,681 agent_manager 5135 8413437696 ✅ Tutor Agent inicializado
WARNING 2025-06-25 10:17:26,686 ai_service 5135 8413437696 Claude API key no configurada
INFO 2025-06-25 10:17:26,686 agent_manager 5135 8413437696 ✅ Evaluator Agent inicializado
WARNING 2025-06-25 10:17:26,691 ai_service 5135 8413437696 Claude API key no configurada
INFO 2025-06-25 10:17:26,691 agent_manager 5135 8413437696 ✅ Counselor Agent inicializado
WARNING 2025-06-25 10:17:26,697 ai_service 5135 8413437696 Claude API key no configurada
INFO 2025-06-25 10:17:26,697 agent_manager 5135 8413437696 ✅ Curriculum Agent inicializado
WARNING 2025-06-25 10:17:26,702 ai_service 5135 8413437696 Claude API key no configurada
INFO 2025-06-25 10:17:26,702 agent_manager 5135 8413437696 ✅ Analytics Agent inicializado
INFO 2025-06-25 10:17:26,702 agent_manager 5135 8413437696 AgentManager inicializado con 5 agentes
WARNING 2025-06-25 10:17:43,280 ai_service 5209 8413437696 Claude API key no configurada
INFO 2025-06-25 10:17:43,281 agent_manager 5209 8413437696 ✅ Tutor Agent inicializado
WARNING 2025-06-25 10:17:43,286 ai_service 5209 8413437696 Claude API key no configurada
INFO 2025-06-25 10:17:43,286 agent_manager 5209 8413437696 ✅ Evaluator Agent inicializado
WARNING 2025-06-25 10:17:43,291 ai_service 5209 8413437696 Claude API key no configurada
INFO 2025-06-25 10:17:43,291 agent_manager 5209 8413437696 ✅ Counselor Agent inicializado
WARNING 2025-06-25 10:17:43,296 ai_service 5209 8413437696 Claude API key no configurada
INFO 2025-06-25 10:17:43,296 agent_manager 5209 8413437696 ✅ Curriculum Agent inicializado
WARNING 2025-06-25 10:17:43,301 ai_service 5209 8413437696 Claude API key no configurada
INFO 2025-06-25 10:17:43,301 agent_manager 5209 8413437696 ✅ Analytics Agent inicializado
INFO 2025-06-25 10:17:43,301 agent_manager 5209 8413437696 AgentManager inicializado con 5 agentes
WARNING 2025-06-25 10:18:08,783 ai_service 5321 8413437696 Claude API key no configurada
INFO 2025-06-25 10:18:08,783 agent_manager 5321 8413437696 ✅ Tutor Agent inicializado
WARNING 2025-06-25 10:18:08,788 ai_service 5321 8413437696 Claude API key no configurada
INFO 2025-06-25 10:18:08,788 agent_manager 5321 8413437696 ✅ Evaluator Agent inicializado
WARNING 2025-06-25 10:18:08,793 ai_service 5321 8413437696 Claude API key no configurada
INFO 2025-06-25 10:18:08,793 agent_manager 5321 8413437696 ✅ Counselor Agent inicializado
WARNING 2025-06-25 10:18:08,798 ai_service 5321 8413437696 Claude API key no configurada
INFO 2025-06-25 10:18:08,798 agent_manager 5321 8413437696 ✅ Curriculum Agent inicializado
WARNING 2025-06-25 10:18:08,802 ai_service 5321 8413437696 Claude API key no configurada
INFO 2025-06-25 10:18:08,803 agent_manager 5321 8413437696 ✅ Analytics Agent inicializado
INFO 2025-06-25 10:18:08,803 agent_manager 5321 8413437696 AgentManager inicializado con 5 agentes
INFO 2025-06-25 10:18:08,803 agent_manager 5321 8413437696 Query routing: '¿Puedes explicarme qué es la 'entropía' de una for...' -> tutor (score: 1.0)
INFO 2025-06-25 10:18:08,805 ai_service 5321 8413437696 Procesando consulta con OpenAI - Tokens: 680
INFO 2025-06-25 10:18:21,572 _client 5321 8413437696 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
INFO 2025-06-25 10:18:21,588 ai_service 5321 8413437696 Consulta procesada exitosamente en 12.79s
INFO 2025-06-25 10:18:21,588 agent_manager 5321 8413437696 Interacción procesada - Agente: tutor, Query: '¿Puedes explicarme qué es la 'entropía' de una for...', Response time: 12.79s
INFO 2025-06-25 10:18:21,589 agent_manager 5321 8413437696 Query routing: 'Necesito 3 ejercicios de práctica sobre la ley de ...' -> tutor (score: 1.0)
INFO 2025-06-25 10:18:21,593 ai_service 5321 8413437696 Procesando consulta con OpenAI - Tokens: 678
INFO 2025-06-25 10:18:32,683 _client 5321 8413437696 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
INFO 2025-06-25 10:18:32,702 ai_service 5321 8413437696 Consulta procesada exitosamente en 11.11s
INFO 2025-06-25 10:18:32,703 agent_manager 5321 8413437696 Interacción procesada - Agente: tutor, Query: 'Necesito 3 ejercicios de práctica sobre la ley de ...', Response time: 11.11s
INFO 2025-06-25 10:18:32,704 agent_manager 5321 8413437696 Query routing: 'Quiero que me hagas un quiz de 5 preguntas sobre l...' -> tutor (score: 1.0)
INFO 2025-06-25 10:18:32,718 ai_service 5321 8413437696 Procesando consulta con OpenAI - Tokens: 679
INFO 2025-06-25 10:18:37,152 _client 5321 8413437696 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
INFO 2025-06-25 10:18:37,157 ai_service 5321 8413437696 Consulta procesada exitosamente en 4.45s
INFO 2025-06-25 10:18:37,157 agent_manager 5321 8413437696 Interacción procesada - Agente: tutor, Query: 'Quiero que me hagas un quiz de 5 preguntas sobre l...', Response time: 4.45s
INFO 2025-06-25 10:18:37,165 ai_service 5321 8413437696 Procesando consulta con OpenAI - Tokens: 689
INFO 2025-06-25 10:18:47,670 _client 5321 8413437696 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
INFO 2025-06-25 10:18:47,685 ai_service 5321 8413437696 Consulta procesada exitosamente en 10.53s
INFO 2025-06-25 10:18:47,686 agent_manager 5321 8413437696 Interacción procesada - Agente: tutor, Query: 'Creo que ya entiendo la diferencia entre 'mitosis'...', Response time: 10.53s
INFO 2025-06-25 10:18:47,686 agent_manager 5321 8413437696 Query routing: 'Me cuesta mucho concentrarme cuando estudio en cas...' -> counselor (score: 0.5)
INFO 2025-06-25 10:18:47,690 ai_service 5321 8413437696 Procesando consulta con OpenAI - Tokens: 1051
INFO 2025-06-25 10:18:56,911 _client 5321 8413437696 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
INFO 2025-06-25 10:18:56,926 ai_service 5321 8413437696 Consulta procesada exitosamente en 9.24s
INFO 2025-06-25 10:18:56,926 agent_manager 5321 8413437696 Interacción procesada - Agente: counselor, Query: 'Me cuesta mucho concentrarme cuando estudio en cas...', Response time: 9.24s
INFO 2025-06-25 10:18:56,927 agent_manager 5321 8413437696 Query routing: 'Estoy sintiendo mucha ansiedad por los próximos ex...' -> counselor (score: 0.5)
INFO 2025-06-25 10:18:56,933 ai_service 5321 8413437696 Procesando consulta con OpenAI - Tokens: 1057
INFO 2025-06-25 10:19:07,726 _client 5321 8413437696 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
INFO 2025-06-25 10:19:07,731 ai_service 5321 8413437696 Consulta procesada exitosamente en 10.80s
INFO 2025-06-25 10:19:07,732 agent_manager 5321 8413437696 Interacción procesada - Agente: counselor, Query: 'Estoy sintiendo mucha ansiedad por los próximos ex...', Response time: 10.80s
INFO 2025-06-25 10:19:07,732 agent_manager 5321 8413437696 Query routing: 'Quiero aprender los conceptos básicos de la inteli...' -> tutor (score: 2.0)
INFO 2025-06-25 10:19:07,742 ai_service 5321 8413437696 Procesando consulta con OpenAI - Tokens: 687
INFO 2025-06-25 10:19:28,224 _client 5321 8413437696 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
INFO 2025-06-25 10:19:28,240 ai_service 5321 8413437696 Consulta procesada exitosamente en 20.51s
INFO 2025-06-25 10:19:28,241 agent_manager 5321 8413437696 Interacción procesada - Agente: tutor, Query: 'Quiero aprender los conceptos básicos de la inteli...', Response time: 20.51s
INFO 2025-06-25 10:19:28,241 agent_manager 5321 8413437696 Query routing: '¿Cuál sería la estructura ideal para una presentac...' -> curriculum (score: 0.3333333333333333)
INFO 2025-06-25 10:19:28,252 ai_service 5321 8413437696 Procesando consulta con OpenAI - Tokens: 973
INFO 2025-06-25 10:19:41,948 _client 5321 8413437696 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
INFO 2025-06-25 10:19:41,963 ai_service 5321 8413437696 Consulta procesada exitosamente en 13.72s
INFO 2025-06-25 10:19:41,963 agent_manager 5321 8413437696 Interacción procesada - Agente: curriculum, Query: '¿Cuál sería la estructura ideal para una presentac...', Response time: 13.72s
INFO 2025-06-25 10:19:41,963 agent_manager 5321 8413437696 Query routing: 'Basado en mis conversaciones anteriores, ¿en qué t...' -> tutor (score: 1.0)
INFO 2025-06-25 10:19:41,969 ai_service 5321 8413437696 Procesando consulta con OpenAI - Tokens: 684
INFO 2025-06-25 10:19:49,657 _client 5321 8413437696 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
INFO 2025-06-25 10:19:49,661 ai_service 5321 8413437696 Consulta procesada exitosamente en 7.70s
INFO 2025-06-25 10:19:49,661 agent_manager 5321 8413437696 Interacción procesada - Agente: tutor, Query: 'Basado en mis conversaciones anteriores, ¿en qué t...', Response time: 7.70s
INFO 2025-06-25 10:19:49,662 agent_manager 5321 8413437696 Query routing: 'Después de explicarme la Primera Guerra Mundial, c...' -> tutor (score: 1.0)
INFO 2025-06-25 10:19:49,662 ai_service 5321 8413437696 Procesando consulta con OpenAI - Tokens: 697
INFO 2025-06-25 10:20:07,406 _client 5321 8413437696 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
INFO 2025-06-25 10:20:07,414 ai_service 5321 8413437696 Consulta procesada exitosamente en 17.75s
INFO 2025-06-25 10:20:07,415 agent_manager 5321 8413437696 Interacción procesada - Agente: tutor, Query: 'Después de explicarme la Primera Guerra Mundial, c...', Response time: 17.75s
INFO 2025-06-25 10:21:22,119 autoreload 3992 8413437696 /Users/eudesz/Documents/MySpace/Chat_agent_AI/Archivo/apps/agents/views.py changed, reloading.
INFO 2025-06-25 10:21:23,984 autoreload 6081 8413437696 Watching for file changes with StatReloader
WARNING 2025-06-25 10:26:32,671 ai_service 6081 6195015680 Claude API key no configurada
INFO 2025-06-25 10:26:32,672 agent_manager 6081 6195015680 ✅ Tutor Agent inicializado
WARNING 2025-06-25 10:26:32,681 ai_service 6081 6195015680 Claude API key no configurada
INFO 2025-06-25 10:26:32,681 agent_manager 6081 6195015680 ✅ Evaluator Agent inicializado
WARNING 2025-06-25 10:26:32,688 ai_service 6081 6195015680 Claude API key no configurada
INFO 2025-06-25 10:26:32,688 agent_manager 6081 6195015680 ✅ Counselor Agent inicializado
WARNING 2025-06-25 10:26:32,693 ai_service 6081 6195015680 Claude API key no configurada
INFO 2025-06-25 10:26:32,693 agent_manager 6081 6195015680 ✅ Curriculum Agent inicializado
WARNING 2025-06-25 10:26:32,700 ai_service 6081 6195015680 Claude API key no configurada
INFO 2025-06-25 10:26:32,700 agent_manager 6081 6195015680 ✅ Analytics Agent inicializado
INFO 2025-06-25 10:26:32,700 agent_manager 6081 6195015680 AgentManager inicializado con 5 agentes
INFO 2025-06-25 10:26:32,776 SentenceTransformer 6081 6195015680 Use pytorch device_name: mps
INFO 2025-06-25 10:26:32,776 SentenceTransformer 6081 6195015680 Load pretrained SentenceTransformer: all-MiniLM-L6-v2
INFO 2025-06-25 10:26:37,288 enhanced_rag 6081 6195015680 Modelo de embeddings cargado: all-MiniLM-L6-v2
INFO 2025-06-25 10:26:38,204 enhanced_rag 6081 6195015680 ChromaDB inicializado en: ./chroma_db
WARNING 2025-06-25 10:26:38,207 log 6081 6195015680 Forbidden: /api/agents/chat/
WARNING 2025-06-25 10:26:55,113 ai_service 6081 14157213696 Claude API key no configurada
INFO 2025-06-25 10:26:55,113 agent_manager 6081 14157213696 ✅ Tutor Agent inicializado
WARNING 2025-06-25 10:26:55,122 ai_service 6081 14157213696 Claude API key no configurada
INFO 2025-06-25 10:26:55,122 agent_manager 6081 14157213696 ✅ Evaluator Agent inicializado
WARNING 2025-06-25 10:26:55,129 ai_service 6081 14157213696 Claude API key no configurada
INFO 2025-06-25 10:26:55,129 agent_manager 6081 14157213696 ✅ Counselor Agent inicializado
WARNING 2025-06-25 10:26:55,134 ai_service 6081 14157213696 Claude API key no configurada
INFO 2025-06-25 10:26:55,135 agent_manager 6081 14157213696 ✅ Curriculum Agent inicializado
WARNING 2025-06-25 10:26:55,141 ai_service 6081 14157213696 Claude API key no configurada
INFO 2025-06-25 10:26:55,141 agent_manager 6081 14157213696 ✅ Analytics Agent inicializado
INFO 2025-06-25 10:26:55,142 agent_manager 6081 14157213696 AgentManager inicializado con 5 agentes
INFO 2025-06-25 10:26:55,145 SentenceTransformer 6081 14157213696 Use pytorch device_name: mps
INFO 2025-06-25 10:26:55,145 SentenceTransformer 6081 14157213696 Load pretrained SentenceTransformer: all-MiniLM-L6-v2
INFO 2025-06-25 10:26:57,976 enhanced_rag 6081 14157213696 Modelo de embeddings cargado: all-MiniLM-L6-v2
INFO 2025-06-25 10:26:58,044 enhanced_rag 6081 14157213696 ChromaDB inicializado en: ./chroma_db
WARNING 2025-06-25 10:26:58,068 log 6081 14157213696 Forbidden: /api/agents/chat/
INFO 2025-06-25 10:27:32,774 autoreload 6081 8413437696 /Users/eudesz/Documents/MySpace/Chat_agent_AI/Archivo/backend_project/settings.py changed, reloading.
INFO 2025-06-25 10:27:35,045 autoreload 7501 8413437696 Watching for file changes with StatReloader
WARNING 2025-06-25 10:27:53,932 ai_service 7501 6168178688 Claude API key no configurada
INFO 2025-06-25 10:27:53,932 agent_manager 7501 6168178688 ✅ Tutor Agent inicializado
WARNING 2025-06-25 10:27:53,938 ai_service 7501 6168178688 Claude API key no configurada
INFO 2025-06-25 10:27:53,938 agent_manager 7501 6168178688 ✅ Evaluator Agent inicializado
WARNING 2025-06-25 10:27:53,945 ai_service 7501 6168178688 Claude API key no configurada
INFO 2025-06-25 10:27:53,946 agent_manager 7501 6168178688 ✅ Counselor Agent inicializado
WARNING 2025-06-25 10:27:53,954 ai_service 7501 6168178688 Claude API key no configurada
INFO 2025-06-25 10:27:53,954 agent_manager 7501 6168178688 ✅ Curriculum Agent inicializado
WARNING 2025-06-25 10:27:53,961 ai_service 7501 6168178688 Claude API key no configurada
INFO 2025-06-25 10:27:53,961 agent_manager 7501 6168178688 ✅ Analytics Agent inicializado
INFO 2025-06-25 10:27:53,961 agent_manager 7501 6168178688 AgentManager inicializado con 5 agentes
INFO 2025-06-25 10:27:54,012 SentenceTransformer 7501 6168178688 Use pytorch device_name: mps
INFO 2025-06-25 10:27:54,012 SentenceTransformer 7501 6168178688 Load pretrained SentenceTransformer: all-MiniLM-L6-v2
INFO 2025-06-25 10:27:57,332 enhanced_rag 7501 6168178688 Modelo de embeddings cargado: all-MiniLM-L6-v2
INFO 2025-06-25 10:27:57,566 enhanced_rag 7501 6168178688 ChromaDB inicializado en: ./chroma_db
INFO 2025-06-25 10:27:57,567 conversation_memory 7501 6168178688 ConversationMemory inicializada para maría-gonzález/tutor
ERROR 2025-06-25 10:27:57,571 conversation_memory 7501 6168178688 Error obteniendo contexto: Error 61 connecting to localhost:6379. Connection refused.
INFO 2025-06-25 10:28:00,767 enhanced_rag 7501 6168178688 No se encontraron documentos para el usuario maría-gonzález
ERROR 2025-06-25 10:28:00,769 conversation_memory 7501 6168178688 Error obteniendo metadatos: Error 61 connecting to localhost:6379. Connection refused.
INFO 2025-06-25 10:28:00,781 ai_service 7501 6168178688 Procesando consulta con OpenAI - Tokens: 689
INFO 2025-06-25 10:28:07,050 _client 7501 6168178688 HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
INFO 2025-06-25 10:28:07,062 ai_service 7501 6168178688 Consulta procesada exitosamente en 6.29s
INFO 2025-06-25 10:28:07,063 agent_manager 7501 6168178688 Interacción procesada - Agente: tutor, Query: 'expicame la suma ...', Response time: 6.29s
ERROR 2025-06-25 10:28:07,064 conversation_memory 7501 6168178688 Error agregando mensaje: Error 61 connecting to localhost:6379. Connection refused.
ERROR 2025-06-25 10:28:07,065 conversation_memory 7501 6168178688 Error agregando mensaje: Error 61 connecting to localhost:6379. Connection refused.
INFO 2025-06-25 10:50:51,960 SentenceTransformer 7501 14195650560 Use pytorch device_name: mps
INFO 2025-06-25 10:50:51,962 SentenceTransformer 7501 14195650560 Load pretrained SentenceTransformer: all-MiniLM-L6-v2
INFO 2025-06-25 10:50:55,525 enhanced_rag 7501 14195650560 Modelo de embeddings cargado: all-MiniLM-L6-v2
INFO 2025-06-25 10:50:55,618 enhanced_rag 7501 14195650560 ChromaDB inicializado en: ./chroma_db
INFO 2025-06-25 10:51:04,399 enhanced_rag 7501 14195650560 Documento procesado: doc_20250625_105103 - 1164 chunks para usuario default-user
WARNING 2025-06-25 10:51:38,759 ai_service 7501 14229204992 Claude API key no configurada
INFO 2025-06-25 10:51:38,763 agent_manager 7501 14229204992 ✅ Tutor Agent inicializado
WARNING 2025-06-25 10:51:38,775 ai_service 7501 14229204992 Claude API key no configurada
INFO 2025-06-25 10:51:38,775 agent_manager 7501 14229204992 ✅ Evaluator Agent inicializado
WARNING 2025-06-25 10:51:38,784 ai_service 7501 14229204992 Claude API key no configurada
INFO 2025-06-25 10:51:38,784 agent_manager 7501 14229204992 ✅ Counselor Agent inicializado
WARNING 2025-06-25 10:51:38,792 ai_service 7501 14229204992 Claude API key no configurada
INFO 2025-06-25 10:51:38,792 agent_manager 7501 14229204992 ✅ Curriculum Agent inicializado
WARNING 2025-06-25 10:51:38,798 ai_service 7501 14229204992 Claude API key no configurada
INFO 2025-06-25 10:51:38,798 agent_manager 7501 14229204992 ✅ Analytics Agent inicializado
INFO 2025-06-25 10:51:38,798 agent_manager 7501 14229204992 AgentManager inicializado con 5 agentes
INFO 2025-06-25 10:51:38,800 SentenceTransformer 7501 14229204992 Use pytorch device_name: mps
INFO 2025-06-25 10:51:38,800 SentenceTransformer 7501 14229204992 Load pretrained SentenceTransformer: all-MiniLM-L6-v2
INFO 2025-06-25 10:51:41,925 enhanced_rag 7501 14229204992 Modelo de embeddings cargado: all-MiniLM-L6-v2
INFO 2025-06-25 10:51:42,015 enhanced_rag 7501 14229204992 ChromaDB inicializado en: ./chroma_db
INFO 2025-06-25 10:51:42,035 conversation_memory 7501 14229204992 ConversationMemory inicializada para maría-gonzález/tutor
ERROR 2025-06-25 10:51:42,042 conversation_memory 7501 14229204992 Error obteniendo contexto: Error 61 connecting to localhost:6379. Connection refused.
INFO 2025-06-25 10:51:43,032 enhanced_rag 7501 14229204992 No se encontraron documentos para el usuario maría-gonzález
ERROR 2025-06-25 10:51:43,037 conversation_memory 7501 14229204992 Error obteniendo metadatos: Error 61 connecting to localhost:6379. Connection refused.
INFO 2025-06-25 10:51:43,077 ai_service 7501 14229204992 Procesando consulta con OpenAI - Tokens: 706
